Rectangle,Voxel_size,Density_Computer,Length_in_pixels
1,0.0762383788824081,1.6461127732596676,45.70557952810576
1,0.0762383788824081,1.6433787974406864,46.52956049652737
1,0.0762383788824081,1.6582058623443505,46.389654018972806
1,0.0762383788824081,1.672265893945252,47.265209192385896
1,0.0762383788824081,1.669807426613526,47.16990566028302
1,0.0762383788824081,1.654277523678001,47.095647357266465
1,0.0762383788824081,1.6637189019877285,48.041648597857254
1,0.0762383788824081,1.6553080652228462,48.010415536631214
1,0.0762383788824081,1.6448045033373913,48.0
1,0.0762383788824081,1.6145038759825652,48.0
1,0.0762383788824081,1.6381258959867335,49.0
1,0.0762383788824081,1.6447235214272522,49.0
1,0.0762383788824081,1.6345127973734532,49.0
1,0.0762383788824081,1.6327461513291894,49.0
1,0.0762383788824081,1.617231763577263,49.0
1,0.0762383788824081,1.6450415397119749,49.0
1,0.0762383788824081,1.6352564858146632,49.0
1,0.0762383788824081,1.6310924654674563,49.0
1,0.0762383788824081,1.6350242008827,49.0
1,0.0762383788824081,1.6336410565892263,49.0
1,0.0762383788824081,1.656106522504514,49.0
1,0.0762383788824081,1.665608081118388,49.0
1,0.0762383788824081,1.648651385289593,49.0
1,0.0762383788824081,1.644382282379698,49.0
1,0.0762383788824081,1.6366133723153624,48.0
1,0.0762383788824081,1.627572274670271,48.0
1,0.0762383788824081,1.6511819199027253,48.010415536631214
1,0.0762383788824081,1.6404732889460243,48.041648597857254
1,0.0762383788824081,1.6384589055361491,48.093658625644196
1,0.0762383788824081,1.6217199447244448,48.16637831516918
1,0.0762383788824081,1.6143296460619647,48.25971404805462
1,0.0762383788824081,1.6111173132178516,47.38143096192854
1,0.0762383788824081,1.621941019969086,47.51841748206689
1,0.0762383788824081,1.6244510814928161,47.67598976424087
1,0.0762383788824081,1.625767000592511,47.853944456021594
1,0.0762383788824081,1.6312552917947316,47.07440918375928
1,0.0762383788824081,1.615242036587227,47.265209192385896
1,0.0762383788824081,1.603619412557906,47.38143096192854
1,0.0762383788824081,1.6317547759260107,47.51841748206689
1,0.0762383788824081,1.6520500447130724,46.69047011971501
1,0.0762383788824081,,49.72926703662542
1,0.0762383788824081,,49.47726750741192
1,0.0762383788824081,,49.24428900898052
1,0.0762383788824081,,49.03060268852505
1,0.0762383788824081,,48.76474136094644
1,0.0762383788824081,,48.507731342539614
1,0.0762383788824081,,48.27007354458868
1,0.0762383788824081,,48.05205510693585
1,0.0762383788824081,,48.83646178829912
1,0.0762383788824081,,48.662100242385755
1,0.0762383788824081,,48.507731342539614
1,0.0762383788824081,,48.373546489791295
1,0.0762383788824081,,48.25971404805462
1,0.0762383788824081,,48.16637831516918
1,0.0762383788824081,,48.093658625644196
1,0.0762383788824081,,48.041648597857254
1,0.0762383788824081,,48.010415536631214
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,48.0
1,0.0762383788824081,,47.0
1,0.0762383788824081,,47.0
1,0.0762383788824081,,47.0
1,0.0762383788824081,,47.0
1,0.0762383788824081,,47.01063709417264
1,0.0762383788824081,,47.042533945356304
1,0.0762383788824081,,46.09772228646444
1,0.0762383788824081,,46.17358552246078
1,0.0762383788824081,,46.2709412050371
1,0.0762383788824081,,46.389654018972806
1,0.0762383788824081,,45.5411901469428
1,0.0762383788824081,,45.70557952810576
1,0.0762383788824081,,45.89117562233506
1,0.0762383788824081,,46.09772228646444
2,0.0762383788824081,1.7498887498084188,39.56008088970496
2,0.0762383788824081,1.7479797496339724,40.52159917870962
2,0.0762383788824081,1.7590588312548618,40.26164427839479
2,0.0762383788824081,1.7552229361651315,40.024992192379
2,0.0762383788824081,1.7630099091056877,41.0
2,0.0762383788824081,1.7524660853656053,39.81205847478876
2,0.0762383788824081,1.7274118443684188,39.6232255123179
2,0.0762383788824081,1.7210166963267919,39.45883931389772
2,0.0762383788824081,1.7104792811586687,40.44749683231337
2,0.0762383788824081,1.6932239281848025,39.319206502675
2,0.0762383788824081,1.7060547091948417,39.20459156782532
2,0.0762383788824081,1.7051054174593465,39.11521443121589
2,0.0762383788824081,1.6933615571698226,40.11234224026316
2,0.0762383788824081,1.7178154228941744,39.05124837953327
2,0.0762383788824081,1.72576105475835,40.049968789001575
2,0.0762383788824081,1.7222986517204504,39.01281840626232
2,0.0762383788824081,1.72148726357099,38.0
2,0.0762383788824081,1.727141461373076,39.0
2,0.0762383788824081,1.744242769694784,38.01315561749642
2,0.0762383788824081,1.7554447483848123,39.01281840626232
2,0.0762383788824081,1.753649803635472,38.0
2,0.0762383788824081,1.7449373227574412,39.0
2,0.0762383788824081,1.760916162191131,38.0
2,0.0762383788824081,1.7519273363215289,38.0
2,0.0762383788824081,1.7262942135351491,38.01315561749642
2,0.0762383788824081,1.7112026071521815,39.01281840626232
2,0.0762383788824081,1.7102530638327862,38.0
2,0.0762383788824081,1.7104543884291792,39.0
2,0.0762383788824081,1.7201601107307962,38.0
2,0.0762383788824081,1.7368337932917082,37.0
2,0.0762383788824081,1.7461153475899334,38.0
2,0.0762383788824081,1.74316771360595,37.013511046643494
2,0.0762383788824081,1.7274457471004625,38.01315561749642
2,0.0762383788824081,1.7018437186065571,37.05401462729781
2,0.0762383788824081,1.6986534606562163,36.124783736376884
2,0.0762383788824081,1.7074638404395488,37.12142238654117
2,0.0762383788824081,1.707449214962632,36.22154055254967
